vendor,model,provider,sizeTokens,idleSeconds,condition,n,hitPct,ttftMs,costUsd,costTotalUsd,pings
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,0,warm,24,100.0,1322,0.010699,0.144155,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,60,baseline,24,100.0,1343,0.010699,0.144155,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,60,keepalive,24,100.0,1306,0.010699,0.154862,1
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,300,baseline,24,100.0,1436,0.010699,0.144155,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,300,keepalive,21,100.0,1291,0.010699,0.240456,9
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,600,baseline,24,0.0,1654,0.133457,0.266913,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,40000,600,keepalive,20,100.0,1224,0.010699,0.347448,19
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,0,warm,24,100.0,1361,0.026702,0.360198,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,60,baseline,24,100.0,1421,0.026697,0.360133,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,60,keepalive,24,100.0,1443,0.026698,0.386839,1
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,300,baseline,24,100.0,1559,0.026697,0.360133,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,300,keepalive,19,100.0,1374,0.026698,0.600420,9
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,600,baseline,24,0.0,2285,0.333437,0.666873,0
anthropic,anthropic:claude-sonnet-4-5,anthropic,100000,600,keepalive,20,100.0,1404,0.026698,0.867396,19
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,0,warm,24,99.9,1104,0.004341,0.013008,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,60,baseline,24,99.9,1286,0.004341,0.013008,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,60,keepalive,24,99.9,1177,0.004341,0.017350,1
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,300,baseline,23,99.9,1538,0.004341,0.013008,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,300,keepalive,21,99.9,1022,0.004341,0.056406,9
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,600,baseline,24,0.2,2332,0.008667,0.017335,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,40000,600,keepalive,21,99.9,1163,0.004341,0.099818,19
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,0,warm,24,99.9,1562,0.010846,0.032516,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,60,baseline,24,99.9,1674,0.010846,0.032516,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,60,keepalive,24,100.0,1492,0.010844,0.043362,1
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,300,baseline,24,100.0,1546,0.010842,0.032508,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,300,keepalive,23,100.0,1443,0.010842,0.140910,9
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,600,baseline,24,0.1,5398,0.021666,0.043332,0
deepseek,deepseek/deepseek-v3.2,DeepInfra,100000,600,keepalive,21,100.0,1388,0.010842,0.249330,19
google,google:gemini-2.5-pro,google,40000,0,warm,9,98.1,3480,0.010946,0.052663,0
google,google:gemini-2.5-pro,google,40000,60,baseline,12,98.1,1467,0.010947,0.052666,0
google,google:gemini-2.5-pro,google,40000,60,keepalive,7,98.1,4032,0.010948,0.063616,1
google,google:gemini-2.5-pro,google,40000,300,baseline,12,98.1,2514,0.010948,0.052668,0
google,google:gemini-2.5-pro,google,40000,300,keepalive,5,98.1,1461,0.010949,0.151215,9
google,google:gemini-2.5-pro,google,40000,600,baseline,12,98.1,1846,0.010948,0.052668,0
google,google:gemini-2.5-pro,google,40000,600,keepalive,6,98.1,3295,0.010949,0.276095,19
google,google:gemini-2.5-pro,google,100000,0,warm,11,98.2,2880,0.027257,0.054513,0
google,google:gemini-2.5-pro,google,100000,60,baseline,12,98.2,3064,0.027258,0.131490,0
google,google:gemini-2.5-pro,google,100000,60,keepalive,7,98.2,4564,0.027259,0.158752,1
google,google:gemini-2.5-pro,google,100000,300,baseline,12,98.2,4548,0.027259,0.131493,0
google,google:gemini-2.5-pro,google,100000,300,keepalive,5,98.2,2045,0.027242,0.376632,9
google,google:gemini-2.5-pro,google,100000,600,baseline,12,98.2,3952,0.027259,0.131493,0
google,google:gemini-2.5-pro,google,100000,600,keepalive,3,98.2,1783,0.027242,0.649047,19
openai,openai:gpt-5.1,openai,40000,0,warm,24,99.4,856,0.004409,0.046114,0
openai,openai:gpt-5.1,openai,40000,60,baseline,24,99.4,890,0.004409,0.046114,0
openai,openai:gpt-5.1,openai,40000,60,keepalive,24,99.4,823,0.004410,0.050527,1
openai,openai:gpt-5.1,openai,40000,300,baseline,24,99.4,1010,0.004409,0.046114,0
openai,openai:gpt-5.1,openai,40000,300,keepalive,21,99.4,804,0.004410,0.085809,9
openai,openai:gpt-5.1,openai,40000,600,baseline,24,99.4,1007,0.004409,0.046114,0
openai,openai:gpt-5.1,openai,40000,600,keepalive,23,99.4,852,0.004410,0.129911,19
openai,openai:gpt-5.1,openai,100000,0,warm,24,99.8,1076,0.010618,0.114835,0
openai,openai:gpt-5.1,openai,100000,60,baseline,24,99.8,1094,0.010618,0.114835,0
openai,openai:gpt-5.1,openai,100000,60,keepalive,24,99.8,1008,0.010619,0.125456,1
openai,openai:gpt-5.1,openai,100000,300,baseline,24,99.8,1205,0.010618,0.114835,0
openai,openai:gpt-5.1,openai,100000,300,keepalive,24,99.8,1002,0.010619,0.210406,9
openai,openai:gpt-5.1,openai,100000,600,baseline,24,99.8,1135,0.010618,0.114835,0
